"id","profileName","text","date","title","rating","images","helpful"
"R3KFWI7PSFA23A","Ajit R. Patil","Class book... A v d s r fjs dksks sksl djsj sksk dksk akak dkdk akal fkfl  fj dndn dndn","Reviewed in India on 7 May 2017","Legendary writing",5,"",0
"R1NSDC30ZRCXBL","Amazon Customer","The Product was not so well packaged, and for the book: the book has various case studies to help in understanding the concepts.","Reviewed in India on 19 November 2016","Packaging could have been better",5,"",1
"RAQMTV5HD2ZX8","Jiny","Excellent book for marketing students and to learn many case studies and different types of marketing concepts.","Reviewed in India on 2 January 2018","Five Stars",5,"",1
"RKP1LTWOV8NDY","Amazon Customer","Excellent tool to learn retailing and marketing read it and implemented.","Reviewed in India on 7 June 2017","Four Stars",4,"",0
"R30BCHLDNGIZ0Q","Anisha Agarwal","Best book to gain all the knowledge about marketing that is probably present in this world.","Reviewed in India on 22 December 2017","a comprehensive book",5,"",1
"R59I2WWI9DQQJ","Raam Aravindh","Best PriceOn time delivery","Reviewed in India on 6 January 2018","Best product at its best price",4,"",0
"R2E0TWQLNQ5A54","aashish","Bible of marketing very helpful","Reviewed in India on 2 September 2019","Satiesfied",5,"",0
"R3RH82ATHE2CHR","sakshi","Book is fine but i was sent a used product. Could find ticks on index and pen mark on few pages! Note sticker was also there on one page! Shame on you!","Reviewed in India on 15 July 2021","Used book",1,"","4"
"R3BZUFZ6FAHVLH","Prashant","Best book for marketing received as shown","Reviewed in India on 4 March 2019","Best book",5,"",0
"RSB8CVFL1DRF5","Dinesh Kumar","Excellent book for marketing concepts. Very useful for beginners.","Reviewed in India on 23 October 2018","Made for beginners",5,"",0
"R3IHU6UCN5TI4P","Sha","Good content and explanation of marketing concepts with case studies of reputed companies.","Reviewed in India on 25 December 2017","Good book",5,"",0
"R293QTNK7B3EF0","karandeep singh narula","A very useful book to read if you want to do business really !!","Reviewed in India on 4 November 2017","Five Stars",5,"",1
"R14IK0KUJ7XN9E","Akanksha","The product the more than expectation","Reviewed in India on 16 March 2019","The book is same as the new one",5,"",0
"RF5LZM27EC3BL","Nutan Kumar","best","Reviewed in India on 7 November 2019","best",5,"",0
"R12WMLTQWYL2DT","DCU VISA CARD","The Quality of book could have been much better. It says Used-Good but actually its not that Good","Reviewed in India on 26 July 2021","Book not Good at all as was stated",1,"","2"
"R2ZSX16UBJA3YP","SURAJKUMAR MANKAR","Good","Reviewed in India on 23 January 2018","Four Stars",4,"",0
"R3ENECJQDB666M","Jayesh","Please ye Book Hindi Me Mil Sakti Hai KyaPlz sir","Reviewed in India on 13 March 2018","Five Stars",5,"",0
"R1TCICFQ177BKC","Rajat Rajput ","This is a good book for marketing management.","Reviewed in India on 31 October 2016","Four Stars",4,"",0
"R2LL30MW7BOSRO","GODABARISH PANDA","Good one","Reviewed in India on 5 September 2019","Good one",5,"",0
"R1UXZRV9HRH0PR","Adirai /Puducherry.","Meet out my expectations / Excellent and time bound service / Keep it up. My support will be always with Amazon","Reviewed in India on 15 March 2016","Meet out my expectations / Excellent and time bound service / Keep it up",5,"",1
"RBPVIANSYKAUD","Bairagi shubham","Nice","Reviewed in India on 8 October 2019","Asws",5,"",0
"R3VP6TVW11T7IC","DEEPAK M JOHN","This not the south Asian perspective","Reviewed in India on 5 February 2017","Four Stars",4,"",0
"RFJ9P99WDVKBM","Amazon Customer","Ultimate value","Reviewed in India on 16 November 2017","Four Stars",4,"",0
"RCLFFOTH3NER8","Kavish","Best","Reviewed in India on 29 July 2019","Best",5,"",0
"R2EREFGNJAQ9","Shrikant Jadhav","Good product.","Reviewed in India on 19 May 2017","Four Stars",4,"",0
"R1VAF6KCTF51P2","Raghav","Nice book","Reviewed in India on 6 May 2019","Nice book",5,"",0
"R8EQREUV97WLS","Ramakrishna","We can take book as first reference","Reviewed in India on 5 July 2016","Four Stars",4,"",1
"RJBULYR2OYQWI","Vishruti Yadav","The most awesome book i have ever seen.. Beautiful book with apt and amazing contents..","Reviewed in India on 13 October 2016","Five Stars",5,"",0
"R26L8URHY9IESV","Aaditya Aggarwal","very useful book","Reviewed in India on 26 December 2018","5 stars",5,"",0
"R2A7G1R4U7VIZG","Kunal Bharadkar","thanks to amazon for product at best price","Reviewed in India on 31 January 2018","Five Stars",5,"",0
"RGAEEY2CS4VP","mahesh ramesh kolapkar","good one for entrepreneurs","Reviewed in India on 2 December 2016","good one for entrepreneurs",4,"","2"
"R189L8JXE74059","Jubin Goyal","Its a fantastic book to read. Interactive learning with live examples from our vicinity.","Reviewed in India on 31 October 2016","Five Stars",5,"",0
